index,nctId,claim,PMID,article_title,article_abstract,label,outcome_type,outcome_title,outcome_description,intervention_group_title,comparator_group_title,intervention_group_description,comparator_group_description,intervention_group_intervention_label,comparator_group_intervention_label,intervention_group_arm_group_type,comparator_group_arm_group_type,pValues,statisticalMethods,nonInferiorityTypes,Publication Date
1703,NCT02234284,Health Coaching is superior to Usual Care in terms of Short Form Chronic Respiratory Disease Questionnaire (CRQ-SF) Total Score 9 months,30130430,Randomized Controlled Trial of Health Coaching for Vulnerable Patients with Chronic Obstructive Pulmonary Disease.,"RATIONALE: Socioeconomically disadvantaged patients with chronic obstructive pulmonary disease (COPD) often face barriers to evidence-based care that are difficult to address in public care settings with limited resources.
OBJECTIVES: To determine the benefit of health coaching for patients with moderate to severe COPD relative to usual care.
METHODS: We conducted a randomized controlled trial of 9 months of health coaching versus usual care for English- or Spanish-speaking patients at least 40 years of age with moderate to severe COPD. Primary outcomes were COPD-related quality of life and the dyspnea subscale of the Chronic Respiratory Disease Questionnaire. Secondary outcomes were self-efficacy for managing COPD, exercise capacity (6-min walk test), and number of COPD exacerbations. Additional outcomes were COPD symptoms, lung function (forced expiratory volume in 1 s percent predicted), smoking status, bed days owing to COPD, quality of care (Patient Assessment of Chronic Illness Care), COPD knowledge, and symptoms of depression (Patient Health Questionnaire). Outpatient visits, emergency department visits, and hospitalizations were assessed by review of medical records. Generalized linear modeling was used to adjust for baseline values and account for clustering by clinic.
RESULTS: Of 192 patients enrolled, 158 (82%) completed 9 months of follow-up. There were no significant differences between study arms for the primary or secondary outcomes. At 9 months, patients in the coached group reported better quality of care (mean Patient Assessment of Chronic Illness Care score, 3.30 vs. 3.18; adjusted P = 0.02) and were less likely to report symptoms of moderate to severe depression (Patient Health Questionnaire score, ≥15) than those in the usual care arm (6% vs. 20%; adjusted P = 0.01). During the study, patients in the coaching arm had 48% fewer hospitalizations related to COPD (0.27/patient/yr vs. 0.52/patient/yr), but this difference was not significant in the adjusted analysis.
CONCLUSIONS: These results help inform expectations regarding the limitations and benefits of health coaching for patients with COPD. They may be useful to health policy experts in assessing the potential value of reimbursement and incentives for health coaching-type activities for patients with chronic disease. Clinical trial registered with www.clinicaltrials.gov (NCT02234284).",0,PRIMARY,Short Form Chronic Respiratory Disease Questionnaire (CRQ-SF) Total Score,"The Chronic Respiratory Disease Questionnaire assesses disease-related quality of in 4 domains (dyspnea, fatigue, physical function and mastery). The 8-item Short Form version has been validated against the original full version. Each item is answered on a 7-point response scale where a higher score indicates a higher quality of life. The measure is scored as the mean response score (range 1 to 7) for each domain and for the total score, with the higher score indicating higher quality of life.",Health Coaching,Usual Care,"Health coaching included the following activities Patient COPD education; Correct use of inhalers and nebulizers; Red flags and when to seek medical care; Dyspnea management; Patient decision making and action plans around, exercise, smoking cessation, nutrition, exacerbations; Ensuring appropriate preventive services (pneumovax, flu); Depression screening; Reinforcing clinician education and use of treatment guidelines by primary care providers; Helping patient obtain prescriptions Identifying gaps in care, areas where care not in line with care plan;Helping patients to make and keep appointments and obtain needed testing; Facilitating communication between patients, pulmonary specialists and primary care providers; Connecting with community resources; Helping to access to psychosocial services ; Conducting exercise capacity assessment and working with pulmonary specialist to provide recommended exercise program ; Working with patient family members and caregivers","Patients the usual care arm could be referred to a specialist by their primary care clinician and had access to education classes, smoking cessation classes, psychosocial medicine and nutritional counseling.",BEHAVIORAL,,EXPERIMENTAL,NO_INTERVENTION,['.35'],['Mixed Models Analysis'],['Superiority'],2018-Oct-N/A
8535,NCT03178487,Upadacitinib 15 mg is superior to Placebo in terms of Percentage of Participants With Assessment of SpondyloArthritis International Society (ASAS) 40 Response at Week 14 Baseline and Week 14,31732180,"Efficacy and safety of upadacitinib in patients with active ankylosing spondylitis (SELECT-AXIS 1): a multicentre, randomised, double-blind, placebo-controlled, phase 2/3 trial.","BACKGROUND: The JAK pathway is a potential therapeutic target in ankylosing spondylitis. This study assessed the efficacy and safety of upadacitinib, a selective JAK1 inhibitor, in patients with ankylosing spondylitis.
METHODS: This multicentre, randomised, double-blind, placebo-controlled, two-period, parallel-group, phase 2/3 study, SELECT-AXIS 1, enrolled adults in 62 sites in 20 countries. Eligible patients had active ankylosing spondylitis, fulfilled modified New York criteria, were previously untreated with biological disease-modifying antirheumatic drugs, and had inadequate response to at least two or intolerance or contraindication to non-steroidal anti-inflammatory drugs. Patients were randomly assigned 1:1 using interactive response technology to take oral upadacitinib 15 mg once daily or oral placebo for the 14-week period 1; only period 1 data are reported here. The primary endpoint was the composite outcome measure of the Assessment of SpondyloArthritis international Society 40 response at week 14. Analyses were done in the full analysis set of patients who were randomly assigned and received at least one dose of study drug. This study is registered with ClinicalTrials.gov, NCT03178487.
FINDINGS: Between Nov 30, 2017, and Oct 15, 2018, 187 patients were randomly assigned to upadacitinib 15 mg (93 patients) or to placebo (94 patients), and 178 (95%) patients (89 in the upadacitinib group and 89 in the placebo group) completed period 1 on study drug (by the completion date of Jan 21, 2019). Significantly more patients had an Assessment of SpondyloArthritis international Society 40 response in the upadacitinib group versus in the placebo group at week 14 (48 [52%] of 93 patients vs 24 [26%] of 94 patients; p=0·0003; treatment difference 26% [95% CI 13-40]). Adverse events were reported in 58 (62%) of 93 patients in the upadacitinib group versus 52 (55%) of 94 in the placebo group. The most common adverse event in the upadacitinib group was increased creatine phosphokinase (eight [9%] of 93 patients in the upadacitinib group vs two [2%] of 94 patients with placebo). No serious infections, herpes zoster, malignancy, venous thromboembolic events, or deaths were reported; one serious adverse event was reported in each group.
INTERPRETATION: Upadacitinib 15 mg was efficacious and well tolerated in patients with active ankylosing spondylitis who had an inadequate response or contraindication to non-steroidal anti-inflammatory drugs. These data support the further investigation of upadacitinib for the treatment of axial spondyloarthritis.
FUNDING: AbbVie.",2,PRIMARY,Percentage of Participants With Assessment of SpondyloArthritis International Society (ASAS) 40 Response at Week 14,"ASAS 40 response was defined as improvement of ≥ 40% relative to Baseline and absolute improvement of ≥ 2 units (on a scale from 0 to 10) in ≥ 3 of the following 4 domains with no deterioration (defined as a net worsening of \> 0 units) in the potential remaining domain:

* Patient's global assessment of disease activity, measured on a numeric rating scale (NRS) from 0 (no activity) to 10 (severe activity);
* Pain, measured by the total back pain NRS from 0 (no pain) to 10 (most severe pain);
* Function, measured by the Bath Ankylosing Spondylitis Functional Index (BASFI) which consists of 10 items assessing participants' ability to perform activities on an NRS ranging from 0 (easy) to 10 (impossible);
* Inflammation, measured by the mean of the 2 morning stiffness-related Bath AS Disease Activity Index (BASDAI) NRS scores (items 5 \[level of stiffness\] and 6 \[duration of stiffness\]) each on a scale from 0 (none/0 hours) to 10 (very severe/2 hours or more duration).",Upadacitinib 15 mg,Placebo,Participants received 15 mg upadacitinib orally once a day for 14 weeks in Period 1.,Participants received matching placebo orally once a day for 14 weeks in Period 1.,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['<0.001'],['Cochran-Mantel-Haenszel'],['Superiority'],2019-Dec-07
10602,NCT02633488,Pre and Post Metformin 12 Weeks is equivalent to Pre and Post Placebo 12 Weeks in terms of Flow Mediated Dilation - Endothelial Function before and after 12 weeks on placebo or metformin,14633847,Elevation of free fatty acids induces inflammation and impairs vascular reactivity in healthy subjects.,"To test the possible acute proinflammatory effects of fatty acids, we induced an increase in plasma free fatty acid (FFA) concentrations after a lipid and heparin infusion for 4 h in 10 healthy subjects. We determined the nuclear factor-kappaB (NF-kappaB) binding activity in mononuclear cells (MNCs), the p65 subunit of NF-kappaB, reactive oxygen species (ROS) generation by MNC, and polymorphonuclear leukocytes (PMN). Brachial artery reactivity, using postischemic flow-mediated dilation, was also measured. NF-kappaB binding activity in the MNC nuclear extracts increased to 163 +/- 17% and 144 +/- 14% as compared with basal levels at 2 and 4 h (P < 0.005) and remained elevated (P < 0.05) at 6 h (2 h after cessation of lipid infusion). NF-kappaB p65 subunit protein expression in MNC homogenates also increased at 2, 4, and 6 h (P < 0.05). ROS generation by PMNs increased significantly at 2 and 4 h (P < 0.005), whereas that by MNCs increased at 4 h (P < 0.05). Plasma macrophage migration inhibitory factor increased at 2 (P < 0.05) and 4 h (P < 0.005), respectively, and declined to baseline at 6 h. The postischemic flow-mediated dilation of brachial artery decreased from 6.3 +/- 1.1% at baseline to 4.3 +/- 1.9% and 2.7 +/- 2.1% (P < 0.01) at 2, 4, and 6 h, respectively. We conclude that an increase in FFA concentration induces oxidative stress and has a proinflammatory effect; it also impairs postischemic flow-mediated vasodilation of the brachial artery.",2,PRIMARY,Flow Mediated Dilation - Endothelial Function,brachial artery ultrasonography % flow-mediated dilatation (FMD) for assessing endothelial function before and after an insulin clamp to assess insulin's effect on the vasculature,Pre and Post Metformin 12 Weeks,Pre and Post Placebo 12 Weeks,measured % dilation in response to shear stress before and after 2 hour insulin clamp which is performed before and after 12 weeks of Metformin tablets 3X daily,measured % dilation in response to shear stress before and after 2 hour insulin clamp which is performed before and after 12 weeks of Placebo tablets 3X daily,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['>0.05'],"['t-test, 2 sided']",['Equivalence'],2003-Dec-N/A
6504,NCT02401529,IV Dexamethasone and Oral Prednisolone is superior or other to Placebo in terms of Duration of Post-operative Nausea 7 days,9296405,Prophylaxis for vomiting by children after tonsillectomy: dexamethasone versus perphenazine.,"UNLABELLED: The effects of dexamethasone and perphenazine on vomiting after tonsillectomy in children were compared in 226 healthy children aged 2-12 yr. The study was randomized, stratified, blocked, and double-blind. Anesthesia was induced intravenously (I.V.) with propofol or by inhalation with halothane and N2O. Dexamethasone 150 microg/kg or perphenazine 70 microg/kg was administered I.V. after the induction of anesthesia in a double-blind fashion. Perioperative management of emesis, pain, fluids, and patient discharge was all standardized. The groups had similar demographic characteristics. Perphenazine significantly reduced the incidence of in-hospital vomiting compared with dexamethasone (13% vs 36%, P < 0.001). The incidence of out-of-hospital vomiting was almost identical. Overall, the incidence was significantly different for perphenazine vs dexamethasone (33% vs 46%, P = 0.04) using logistic regression analysis. Of note, sex and induction technique were significant predictors of postoperative vomiting (P < 0.05) using logistic regression analysis, with male patients and those patients undergoing I.V. induction vomiting less. In conclusion, perphenazine more effectively decreases vomiting by children after tonsillectomy in an ambulatory hospital setting compared with dexamethasone.
IMPLICATIONS: Postoperative vomiting can have many debilitating effects, and children undergoing tonsillectomy are at particular risk. We compared the effects of dexamethasone and perphenazine on vomiting after tonsillectomy in 266 children. We found perphenazine more effective than dexamethasone before discharge from hospital but that the two drugs have similar effects after discharge.",2,PRIMARY,Duration of Post-operative Nausea,"Postoperative nausea duration (no nausea,1 day, 2 days, 3 days, 4 days, if more specify)",IV Dexamethasone and Oral Prednisolone,Placebo,"Single dose of intravenous dexamethasone given immediately following surgery (0.15 mg/kg), followed by oral Prednisolone (0.25mg/kg/day for 7 days then tapering for next 7 days) and paracetamol (acetaminophen 15 mg/kg/dose every 6 hours).

IV dexamethasone: 0.15 mg/kg

Oral prednisolone: 0.25mg/kg/day for 7 days then tapering for next 7 days

Paracetamol: acetaminophen 15 mg/kg/dose every 6 hours","Placebo (IV saline) and paracetamol (acetaminophen 15 mg/kg/dose every 6 hours).

Paracetamol: acetaminophen 15 mg/kg/dose every 6 hours

IV saline: IV saline",DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.012'],['Chi-squared'],['Superiority or Other'],1997-Sep-N/A
2018,NCT00925288,"Modified Schedule is non-inferior or equivalent to Regular Schedule in terms of Antibody Response to HPV Vaccine for HPV 6,11,16,18. Month 7",15191449,Prostitution and other cofactors in preinvasive and invasive lesions of the cervix.,"OBJECTIVE: To examine risk factors for preinvasive and invasive lesions of the cervix in Venezuelan female sex workers (FSW).
METHODS: A total of 438 FSW were analysed. Each FSW had their clinical history recorded, a gynaecological examination, a Pap smear and a colposcopic examination of the cervix. A cervical biopsy was taken under colposcopic guidance when there was an abnormal epithelium. The statistical methods used were Student's t-test, chi(2) test and logistic regression.
RESULTS: The sex workers' mean age was 32.1 +/- 7.9 years old (mean +/- standard deviation). The age of the first sexual intercourse activity for the FSW was 15.9 +/- 2.1 years. Sixty-four of the 84 women (76.2%) who had cervical biopsies had preinvasive and invasive lesions; 41 (9.4%) had cervical intra-epithelial neoplasia (CIN) 1, 12 (2.7%) had CIN 2, eight (1.8%) had CIN 3, two (0.5%) had microinvasive carcinoma, and one (0.2%) had invasive carcinoma. Forty of these 64 women (62.5%) with preinvasive or invasive lesions had a concurrent histological diagnosis of human papilloma virus (HPV) infection (P < 0.0001). The FSW with cervical pathology were younger (P < 0.05) and had their first sexual intercourse earlier (P < 0.02) than FSW with no pathology. Two hundred and seventy-six (63%) of the FSW were current smokers, and 47 of these women (17.6%) had cervical pathology (P < 0.03).
CONCLUSIONS: First sexual experience before 20 years of age, cigarette smoking and HPV infection were high-risk factors for preinvasive and invasive lesions of the cervix in Venezuelan FSW.",2,PRIMARY,"Antibody Response to HPV Vaccine for HPV 6,11,16,18.","We measured anitbody response to HPV vaccine for HPV subtypes 6,11,16, and 18. This was compared by study arm, namely the regular and modified vaccination schedules.",Modified Schedule,Regular Schedule,"Duration: 0,3,6 months","Duration: 0,2,6 months",BIOLOGICAL,BIOLOGICAL,EXPERIMENTAL,ACTIVE_COMPARATOR,['>0.20'],"['Regression, Logistic']",['Non-Inferiority or Equivalence'],2004-Jun-N/A
10823,NCT02930018,"Nerinetide, 2.6 mg/kg is superior to Placebo in terms of Number of Subjects With mRS Score of 0 to 2 90 Days",25671798,Randomized assessment of rapid endovascular treatment of ischemic stroke.,"BACKGROUND: Among patients with a proximal vessel occlusion in the anterior circulation, 60 to 80% of patients die within 90 days after stroke onset or do not regain functional independence despite alteplase treatment. We evaluated rapid endovascular treatment in addition to standard care in patients with acute ischemic stroke with a small infarct core, a proximal intracranial arterial occlusion, and moderate-to-good collateral circulation.
METHODS: We randomly assigned participants to receive standard care (control group) or standard care plus endovascular treatment with the use of available thrombectomy devices (intervention group). Patients with a proximal intracranial occlusion in the anterior circulation were included up to 12 hours after symptom onset. Patients with a large infarct core or poor collateral circulation on computed tomography (CT) and CT angiography were excluded. Workflow times were measured against predetermined targets. The primary outcome was the score on the modified Rankin scale (range, 0 [no symptoms] to 6 [death]) at 90 days. A proportional odds model was used to calculate the common odds ratio as a measure of the likelihood that the intervention would lead to lower scores on the modified Rankin scale than would control care (shift analysis).
RESULTS: The trial was stopped early because of efficacy. At 22 centers worldwide, 316 participants were enrolled, of whom 238 received intravenous alteplase (120 in the intervention group and 118 in the control group). In the intervention group, the median time from study CT of the head to first reperfusion was 84 minutes. The rate of functional independence (90-day modified Rankin score of 0 to 2) was increased with the intervention (53.0%, vs. 29.3% in the control group; P<0.001). The primary outcome favored the intervention (common odds ratio, 2.6; 95% confidence interval, 1.7 to 3.8; P<0.001), and the intervention was associated with reduced mortality (10.4%, vs. 19.0% in the control group; P=0.04). Symptomatic intracerebral hemorrhage occurred in 3.6% of participants in intervention group and 2.7% of participants in control group (P=0.75).
CONCLUSIONS: Among patients with acute ischemic stroke with a proximal vessel occlusion, a small infarct core, and moderate-to-good collateral circulation, rapid endovascular treatment improved functional outcomes and reduced mortality. (Funded by Covidien and others; ESCAPE ClinicalTrials.gov number, NCT01778335.).",2,PRIMARY,Number of Subjects With mRS Score of 0 to 2,"Overall number of subjects experiencing a favorable functional outcome 90 days post-randomization, defined as 0 to 2 on the mRS.

The modified Rankin Scale (mRS) is a valid and reliable clinician-reported measure of global disability that has been widely applied for evaluating recovery from stroke. It is a scale used to measure functional recovery (the degree of disability or dependence in daily activities) of people who have suffered a stroke. mRS scores range from 0 (best outcome) to 6 (worst outcome), with 0 indicating no residual symptoms; 5 indicating bedbound, requiring constant care; and 6 indicating death.","Nerinetide, 2.6 mg/kg",Placebo,Single intravenous infusion of nerinetide over 10 ± 1 minutes,"Drug vehicle only

Placebo: Placebo Comparator: Placebo",DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['0.335'],"['Regression, Logistic']",['Superiority'],2015-Mar-12
4121,NCT00620191,Metformin is superior or other to Placebo in terms of Change in Score of the Alzheimer's Disease Assessment Scale-cognitive Subscale (ADAS-cog) 12 months,26890736,Metformin in Amnestic Mild Cognitive Impairment: Results of a Pilot Randomized Placebo Controlled Clinical Trial.,"Diabetes and hyperinsulinemia may be risk factors for Alzheimer's disease (AD). We conducted a pilot study of metformin, a medication efficacious in treating and preventing diabetes while reducing hyperinsulinemia, among persons with amnestic mild cognitive impairment (aMCI) with the goal of collecting preliminary data on feasibility, safety, and efficacy. Participants were 80 men and women aged 55 to 90 years with aMCI, overweight or obese, without treated diabetes. We randomized participants to metformin 1000 mg twice a day or matching placebo for 12 months. The co-primary clinical outcomes were changes from baseline to 12 months in total recall of the Selective Reminding Test (SRT) and the score of the Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-cog). The secondary outcome was change in relative glucose uptake in the posterior cingulate-precuneus in brain fluorodeoxyglucose positron emission tomography. Change in plasma Aβ42 was an exploratory outcome. The mean age of participants was 65 years. Fifty percent of participants were women. The only baseline variable that was different between the arms was the ADAS-Cog. Metformin could not be tolerated by 7.5% of participants; 15% tolerated 500 mg/day, 35% tolerated 1000 mg/day, 32.5% tolerated 1500 mg/day, and only 10% tolerated the maximum dose. There were no serious adverse events related to metformin. The 7.5% of persons who did not tolerate metformin reported gastrointestinal symptoms. After adjusting for baseline ADAS-cog, changes in total recall of the SRT favored the metformin group (9.7±8.5 versus 5.3±8.5; p = 0.02). Differences for other outcomes were not significant. A larger trial seems warranted to evaluate the efficacy and cognitive safety of metformin in prodromal AD.",0,PRIMARY,Change in Score of the Alzheimer's Disease Assessment Scale-cognitive Subscale (ADAS-cog),"The ADAS-cog is an aggregate for several cognitive tests intended to provide a global cognitive score and consists of 11 tasks. The tasks (and corresponding score range)) are Word Recall (0-10), Naming (0-4), Commands (0-5), Constructional Praxis (0-5) Ideational Praxis (0-5), Orientation (0-8), Word Recognition (0-12), Language (0-5), Word Finding Difficulty (0-5), and Remembering Test Instructions (1-5). The range of aggregate scores (sum of scores) is 1 to 69, with higher scores meaning worse cognitive performance. The change was calculated subtracting the baseline score from the final visit score.",Metformin,Placebo,"metformin 1000 mg twice a day

metformin: metformin 1000 mg twice a day titrated from 500 mg once a day.Participants were maintained on the highest tolerated dose (0,1,2,3,4 tablets of 500 mg each).","placebo identical to metformin.

placebo: placebo identical to metformin 2 tablets twice a day titrated from one table once a day. Participants were maintained on the highest tolerated dose (0,1,2,3,4 tablets).",DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,"['0.06', '0.34']","['t-test, 2 sided', 'ANCOVA']",['Superiority or Other'],2016-N/A-N/A
10675,NCT04560374,"Experimental Group is equivalent to Control Group in terms of Neonate Infant Pain Scale Score Before the procedure (0th minute), during the procedure, after the procedure (2nd and 10th minutes)",15794326,Kangaroo holding beyond the NICU.,"The primary goal for maternal-child nurses in caring for parents and their infants is to support parental confidence and competence through education and services to assure optimal parental-infant attachment. Kangaroo holding in the hospital and home environment is one intervention that encourages parental-infant interaction as well as provides the benefits of closeness, proximity, and touch. Nurses in hospitals, private practice, the community, and beyond must work together to change practice by adding the intervention of kangaroo care for the benefit of infants and their families.",2,PRIMARY,Neonate Infant Pain Scale Score,"Neonate Infant Pain Scale score calculated before, durring and after heel lance procedure whom neonates delivered crochet octopus and not delivered crochet octopus. It is a 6-itemed scale developed to assess the pain occuring due to interventions implemented to term and premature infants. The scoring of the scale was realized by assessing five behavioral classification (mimics, crying, movements of arms and legs, wakefulness state) and one physological parameter (type of respiration). It needs too much time and is difficult to assess intubated infants. It is suitable for painful conditions of non-intubated infants . Total score calculated. The lowest score of the scale is 0; the highest one is 7 and 3+ score shows the presence of pain.",Experimental Group,Control Group,Crochet octopus was delivered to the hands of the neonates in the experimental group 10 minutes before heel lance process and they were contacted with the crochet octopus up to 10 minutes after the procedure.,Control group neonates were performed all the process without delivering them any crochet octopus.,DEVICE,,EXPERIMENTAL,NO_INTERVENTION,['<0.001'],['Wilcoxon (Mann-Whitney)'],['Equivalence'],2005-N/A-N/A
9865,NCT02633488,Pre and Post Metformin 12 Weeks is equivalent to Pre and Post Placebo 12 Weeks in terms of Flow Mediated Dilation - Endothelial Function before and after 12 weeks on placebo or metformin,18347836,Age-dependent endothelial dysfunction is associated with failure to increase plasma nitrite in response to exercise.,"Age-dependent alterations of the vessel wall may predispose older individuals to increased cardiovascular pathology. Aging is associated with an impaired bioactivity of nitric oxide (NO). Plasma nitrite reflects NO-synthase activity under fasting conditions and is an important storage pool of NO. To test the hypothesis that aging is associated with an impaired capacity of the vasculature to increase plasma nitrite during exercise, 29 young and 28 old healthy individuals (25 +/- 1 years and 58 +/- 2 years; P < 0.001) without major cardiovascular risk factors were enrolled. Exercise stress was similar in both groups. Baseline nitrite did not differ (107 +/- 8 vs. 82 +/- 10 nmol/l, young vs. old; n.s.) although a trend toward higher nitrite levels in young individuals was seen. In young subjects, exercise increased plasma nitrite by 38 +/- 7% (P < 0.001) compared to only 13 +/- 8% (P = n.s.) in older subjects. L-NMMA blocked increases of nitrite. Endothelial function, as defined by flow-mediated-dilation (FMD) of the brachial artery via ultrasound, was impaired in older subjects (5.4 +/- 0.4% vs. 6.7 +/- 0.3%; P < 0.01). Multivariate analysis showed that age (P = 0.007), BMI (P = 0.010), and LDL (P = 0.021) were independent predictors of nitrite increase. The fact that aging is associated with an impaired capacity of the vasculature to adequately increase nitrite to physiological stimuli may contribute to attenuated maintenance and further deterioration of vascular homeostasis with aging.",2,PRIMARY,Flow Mediated Dilation - Endothelial Function,brachial artery ultrasonography % flow-mediated dilatation (FMD) for assessing endothelial function before and after an insulin clamp to assess insulin's effect on the vasculature,Pre and Post Metformin 12 Weeks,Pre and Post Placebo 12 Weeks,measured % dilation in response to shear stress before and after 2 hour insulin clamp which is performed before and after 12 weeks of Metformin tablets 3X daily,measured % dilation in response to shear stress before and after 2 hour insulin clamp which is performed before and after 12 weeks of Placebo tablets 3X daily,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['>0.05'],"['t-test, 2 sided']",['Equivalence'],2008-May-N/A
1426,NCT01605396,Ridaforolimus + Dalotuzumab + Exemestane is superior to Ridaforolimus + Exemestane in terms of 1. Progression-free Survival (PFS) According to Response Criteria in Solid Tumors Version 1.1 (RECIST 1.1) Based on Blinded Independent Central Review (BICR) From Day 1 through last post-study efficacy follow-up (up to ~19 months),28681171,"A randomized phase II trial of ridaforolimus, dalotuzumab, and exemestane compared with ridaforolimus and exemestane in patients with advanced breast cancer.","PURPOSE: To evaluate whether adding humanized monoclonal insulin growth factor-1 receptor (IGF-1R) antibody (dalotuzumab) to mammalian target of rapamycin (mTOR) inhibitor (ridaforolimus) plus aromatase inhibitor (exemestane) improves outcomes in patients with estrogen receptor (ER)-positive advanced/metastatic breast cancer.
METHODS: This randomized, open-label, phase II trial enrolled 80 postmenopausal women with high-proliferation (Ki67 index staining ≥15%), ER-positive breast cancer that progressed after a non-steroidal aromatase inhibitor (NCT01605396). Randomly assigned patients were given oral ridaforolimus 10 mg QD 5 ×/week, intravenous dalotuzumab 10 mg/kg/week, and oral exemestane 25 mg/day (R/D/E, n = 40), or ridaforolimus 30 mg QD 5 ×/week and exemestane 25 mg/day (R/E; n = 40). Primary end point was progression-free survival (PFS).
RESULTS: Median PFS was 23.3 weeks for R/D/E versus 31.9 weeks for R/E (hazard ratio 1.18; 80% CI 0.81-1.72; P = 0.565). Grade 3-5 adverse events were reported in 67.5% of patients in the R/E arm and 59.0% in the R/D/E arm. Stomatitis (95.0 vs. 76.9%; P = 0.021) and pneumonitis (22.5 vs. 5.1%; P = 0.027) occurred more frequently in the R/E than the R/D/E arm; hyperglycemia (27.5 vs. 28.2%) occurred at a similar rate.
CONCLUSIONS: R/D/E did not improve PFS compared with R/E. Because the PFS reported for R/E was similar to that reported for everolimus plus exemestane in patients with advanced breast cancer, it is possible that lower-dose ridaforolimus in the R/D/E arm (from overlapping toxicities with IGF1R inhibitor) contributed to lack of improved PFS.",0,PRIMARY,1. Progression-free Survival (PFS) According to Response Criteria in Solid Tumors Version 1.1 (RECIST 1.1) Based on Blinded Independent Central Review (BICR),"PFS was defined as the time from randomization to progressive disease, or death, whichever occurs first. Response was assessed according to RECIST 1.1 by BICR. According to RECIST 1.1, progressive disease (PD) was defined as a 20% relative increase in the sum of diameters (SOD) of target lesions, taking as reference the nadir SOD and an absolute increase of \>5 mm in the SOD, or the appearance of new lesions. PFS was analyzed using the Kaplan-Meier method and median PFS (95% confidence interval \[CI\]) in weeks was reported for each treatment arm. Per protocol, participants remained on assigned treatment until disease progression. Participants who discontinued study treatment for reasons other than disease progression continued to be assessed by imaging until objective documentation of progression. All participants (including participants who discontinued study treatment) were followed for survival until investigator notification to discontinue.",Ridaforolimus + Dalotuzumab + Exemestane,Ridaforolimus + Exemestane,Participants received ridaforolimus 10 mg orally (PO) every 5 days (QD x 5) plus dalotuzumab 10 mg/kg intravenously (IV) every week (QW) plus exemestane 25 mg PO every day (QD) in 28-day cycles until documented disease progression or unacceptable toxicity.,Participants received ridaforolimus 30 mg PO QD x 5 plus exemestane 25 mg PO QD treatment in 28-day cycles until documented disease progression or unacceptable toxicity.,DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['0.565'],"['Regression, Cox']",['Superiority'],2017-Oct-N/A
